time_elapsed,pm25 [ug]/m3,pm10 [ug]/m3,NO2  [ug/m3] ,CO  [ug/m3] ,/,/,data,ora,unix time
8.821487426757812e-06,8.2,8.9,-19.592316513761464,447.8335813492064,0.0,0.0,22/10/2021,17:46:43,1634917603.332229
5.78411340713501,8.1,8.8,11.103211009174311,346.95033482142856,0.0,0.0,22/10/2021,17:46:49,1634917609.1163335
9.44974398612976,8.0,8.7,18.54128440366972,413.898189484127,0.0,0.0,22/10/2021,17:46:52,1634917612.781964
13.26145052909851,7.9,8.6,-168.05733944954127,509.6698288690476,0.0,0.0,22/10/2021,17:46:56,1634917616.5936706
16.90241050720215,7.9,8.6,0.053899082568807384,462.31646825396825,0.0,0.0,22/10/2021,17:47:00,1634917620.2346306
20.465081930160522,7.9,8.6,57.59116972477064,440.734126984127,0.0,0.0,22/10/2021,17:47:03,1634917623.797302
24.31871795654297,7.9,8.6,-14.7144495412844,446.2717013888889,0.0,0.0,22/10/2021,17:47:07,1634917627.650938
28.01234793663025,7.9,8.6,8.677752293577981,399.98325892857144,0.0,0.0,22/10/2021,17:47:11,1634917631.344568
31.917442083358765,7.9,8.6,-107.01662844036696,367.7517361111111,0.0,0.0,22/10/2021,17:47:15,1634917635.2496622
35.884422063827515,7.9,8.6,-53.76433486238532,397.7114335317461,0.0,0.0,22/10/2021,17:47:19,1634917639.2166421
39.66515588760376,7.9,8.6,-63.87041284403669,-465.0852554563492,0.0,0.0,22/10/2021,17:47:22,1634917642.997376
